feature,class
12.0,2.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
12.0,3.0
24.0,3.0
36.0,3.0
48.0,3.0
60.0,3.0
6.0,1.0
12.0,2.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,2.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
4.0,1.0
8.0,1.0
12.0,2.0
16.0,3.0
20.0,3.0
4.0,1.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,2.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,3.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,3.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
3.0,1.0
6.0,1.0
9.0,1.0
12.0,2.0
15.0,3.0
3.0,1.0
6.0,2.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,1.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,2.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,3.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
2.3999999999999999,1.0
4.7999999999999998,1.0
7.1999999999999993,1.0
9.5999999999999996,1.0
12.0,2.0
2.3999999999999999,1.0
4.7999999999999998,1.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,1.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,1.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,2.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
6.0,1.0
12.0,2.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,2.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
6.0,3.0
12.0,3.0
18.0,3.0
24.0,3.0
30.0,3.0
3.0,1.0
6.0,1.0
9.0,1.0
12.0,2.0
15.0,3.0
3.0,1.0
6.0,2.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,1.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,2.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,3.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
2.0,1.0
4.0,1.0
6.0,1.0
8.0,1.0
10.0,1.0
2.0,1.0
4.0,1.0
6.0,2.0
8.0,3.0
10.0,3.0
2.0,1.0
4.0,2.0
6.0,3.0
8.0,3.0
10.0,3.0
2.0,1.0
4.0,3.0
6.0,3.0
8.0,3.0
10.0,3.0
2.0,1.0
4.0,3.0
6.0,3.0
8.0,3.0
10.0,3.0
1.5,1.0
3.0,1.0
4.5,1.0
6.0,1.0
7.5,1.0
1.5,1.0
3.0,1.0
4.5,1.0
6.0,2.0
7.5,3.0
1.5,1.0
3.0,1.0
4.5,3.0
6.0,3.0
7.5,3.0
1.5,1.0
3.0,2.0
4.5,3.0
6.0,3.0
7.5,3.0
1.5,1.0
3.0,3.0
4.5,3.0
6.0,3.0
7.5,3.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,1.0
4.7999999999999998,1.0
6.0,1.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,1.0
4.7999999999999998,1.0
6.0,2.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,1.0
4.7999999999999998,3.0
6.0,3.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,3.0
4.7999999999999998,3.0
6.0,3.0
1.2,1.0
2.3999999999999999,2.0
3.5999999999999996,3.0
4.7999999999999998,3.0
6.0,3.0
4.0,1.0
8.0,1.0
12.0,2.0
16.0,3.0
20.0,3.0
4.0,1.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,2.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,3.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
4.0,3.0
8.0,3.0
12.0,3.0
16.0,3.0
20.0,3.0
2.0,1.0
4.0,1.0
6.0,1.0
8.0,1.0
10.0,1.0
2.0,1.0
4.0,1.0
6.0,2.0
8.0,3.0
10.0,3.0
2.0,1.0
4.0,2.0
6.0,3.0
8.0,3.0
10.0,3.0
2.0,1.0
4.0,3.0
6.0,3.0
8.0,3.0
10.0,3.0
2.0,1.0
4.0,3.0
6.0,3.0
8.0,3.0
10.0,3.0
1.3333333333333333,1.0
2.6666666666666665,1.0
4.0,1.0
5.333333333333333,1.0
6.6666666666666661,1.0
1.3333333333333333,1.0
2.6666666666666665,1.0
4.0,1.0
5.333333333333333,1.0
6.6666666666666661,3.0
1.3333333333333333,1.0
2.6666666666666665,1.0
4.0,2.0
5.333333333333333,3.0
6.6666666666666661,3.0
1.3333333333333333,1.0
2.6666666666666665,1.0
4.0,3.0
5.333333333333333,3.0
6.6666666666666661,3.0
1.3333333333333333,1.0
2.6666666666666665,3.0
4.0,3.0
5.333333333333333,3.0
6.6666666666666661,3.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,2.0
5.0,3.0
1.0,1.0
2.0,1.0
3.0,2.0
4.0,3.0
5.0,3.0
1.0,1.0
2.0,1.0
3.0,3.0
4.0,3.0
5.0,3.0
0.79999999999999993,1.0
1.5999999999999999,1.0
2.3999999999999999,1.0
3.1999999999999997,1.0
3.9999999999999996,1.0
0.79999999999999993,1.0
1.5999999999999999,1.0
2.3999999999999999,1.0
3.1999999999999997,1.0
3.9999999999999996,1.0
0.79999999999999993,1.0
1.5999999999999999,1.0
2.3999999999999999,1.0
3.1999999999999997,1.0
3.9999999999999996,2.0
0.79999999999999993,1.0
1.5999999999999999,1.0
2.3999999999999999,1.0
3.1999999999999997,3.0
3.9999999999999996,3.0
0.79999999999999993,1.0
1.5999999999999999,1.0
2.3999999999999999,2.0
3.1999999999999997,3.0
3.9999999999999996,3.0
3.0,1.0
6.0,1.0
9.0,1.0
12.0,2.0
15.0,3.0
3.0,1.0
6.0,2.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,1.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,2.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
3.0,3.0
6.0,3.0
9.0,3.0
12.0,3.0
15.0,3.0
1.5,1.0
3.0,1.0
4.5,1.0
6.0,1.0
7.5,1.0
1.5,1.0
3.0,1.0
4.5,1.0
6.0,2.0
7.5,3.0
1.5,1.0
3.0,1.0
4.5,3.0
6.0,3.0
7.5,3.0
1.5,1.0
3.0,2.0
4.5,3.0
6.0,3.0
7.5,3.0
1.5,1.0
3.0,3.0
4.5,3.0
6.0,3.0
7.5,3.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,2.0
5.0,3.0
1.0,1.0
2.0,1.0
3.0,2.0
4.0,3.0
5.0,3.0
1.0,1.0
2.0,1.0
3.0,3.0
4.0,3.0
5.0,3.0
0.75,1.0
1.5,1.0
2.25,1.0
3.0,1.0
3.75,1.0
0.75,1.0
1.5,1.0
2.25,1.0
3.0,1.0
3.75,1.0
0.75,1.0
1.5,1.0
2.25,1.0
3.0,1.0
3.75,1.0
0.75,1.0
1.5,1.0
2.25,1.0
3.0,2.0
3.75,3.0
0.75,1.0
1.5,1.0
2.25,1.0
3.0,3.0
3.75,3.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,1.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,1.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,1.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,2.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,2.0
3.0,3.0
2.3999999999999999,1.0
4.7999999999999998,1.0
7.1999999999999993,1.0
9.5999999999999996,1.0
12.0,2.0
2.3999999999999999,1.0
4.7999999999999998,1.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,1.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,1.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
2.3999999999999999,2.0
4.7999999999999998,3.0
7.1999999999999993,3.0
9.5999999999999996,3.0
12.0,3.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,1.0
4.7999999999999998,1.0
6.0,1.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,1.0
4.7999999999999998,1.0
6.0,2.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,1.0
4.7999999999999998,3.0
6.0,3.0
1.2,1.0
2.3999999999999999,1.0
3.5999999999999996,3.0
4.7999999999999998,3.0
6.0,3.0
1.2,1.0
2.3999999999999999,2.0
3.5999999999999996,3.0
4.7999999999999998,3.0
6.0,3.0
0.80000000000000004,1.0
1.6000000000000001,1.0
2.4000000000000004,1.0
3.2000000000000002,1.0
4.0,1.0
0.80000000000000004,1.0
1.6000000000000001,1.0
2.4000000000000004,1.0
3.2000000000000002,1.0
4.0,1.0
0.80000000000000004,1.0
1.6000000000000001,1.0
2.4000000000000004,1.0
3.2000000000000002,1.0
4.0,2.0
0.80000000000000004,1.0
1.6000000000000001,1.0
2.4000000000000004,1.0
3.2000000000000002,3.0
4.0,3.0
0.80000000000000004,1.0
1.6000000000000001,1.0
2.4000000000000004,2.0
3.2000000000000002,3.0
4.0,3.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,1.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,1.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,1.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,1.0
3.0,2.0
0.59999999999999998,1.0
1.2,1.0
1.7999999999999998,1.0
2.3999999999999999,2.0
3.0,3.0
0.47999999999999998,1.0
0.95999999999999996,1.0
1.4399999999999999,1.0
1.9199999999999999,1.0
2.3999999999999999,1.0
0.47999999999999998,1.0
0.95999999999999996,1.0
1.4399999999999999,1.0
1.9199999999999999,1.0
2.3999999999999999,1.0
0.47999999999999998,1.0
0.95999999999999996,1.0
1.4399999999999999,1.0
1.9199999999999999,1.0
2.3999999999999999,1.0
0.47999999999999998,1.0
0.95999999999999996,1.0
1.4399999999999999,1.0
1.9199999999999999,1.0
2.3999999999999999,1.0
0.47999999999999998,1.0
0.95999999999999996,1.0
1.4399999999999999,1.0
1.9199999999999999,1.0
2.3999999999999999,2.0
